"Competency,Description,Example Roles,Explanation"
"Action Oriented,""Proactively takes initiative and addresses challenges with energy and urgency."",""Corporate Project Manager; Operations Specialist (I/II/III); K–12 Principal; Classroom Teacher"",""In business, roles like a project manager or operations specialist must drive projects forward despite obstacles. In K–12, principals and teachers often respond to urgent issues immediately. Specialist or Coordinator roles (e.g., Instructional Specialist I/II/III) are expected to quickly implement changes."""
"Attracts Top Talent,""Draws and selects the best candidates to build high-performing teams."",""Corporate HR Recruiter; Talent Acquisition Manager; K–12 Principal; School HR Coordinator"",""Companies compete for skilled workers using creative recruiting methods. In K–12, principals or district HR coordinators attract excellent teachers and staff. This applies from entry-level Specialists to Manager-level roles."""
"Balances Stakeholders,""Considers and integrates diverse interests to reach fair, practical solutions."",""Corporate Project Manager; Client Relations Analyst; K–12 Superintendent; School Board Liaison"",""Project managers and client relations roles balance customer, partner, and team needs. In K–12, superintendents and principals reconcile teacher, parent, and board priorities. Analyst or Coordinator roles support this balance by synthesizing feedback."""
"Being Resilient,""Recovers quickly from setbacks and adapts to challenges."",""Operations Manager; Customer Service Specialist; K–12 Teacher; School Counselor"",""Business roles and K–12 educators both face daily challenges. The ability to bounce back is crucial whether handling a project setback or a difficult classroom day. This applies across levels—from Specialists to Managers."""
"Builds Effective Teams,""Creates cohesive teams that leverage diverse skills to achieve shared goals."",""Corporate Team Leader; Project Manager; K–12 Principal; Department Chair"",""Team leaders and principals foster collaboration by aligning diverse skills toward common objectives. Manager and Coordinator roles ensure team efforts are synchronized at every level."""
"Builds Networks,""Develops a broad range of professional relationships to share knowledge and support goals."",""Business Development Manager; Sales Coordinator; K–12 Career Counselor; Community Engagement Specialist"",""Networking is vital in securing partnerships in business and expanding opportunities in education. This competency is critical for roles from entry-level Coordinators to senior Managers."""
"Business Insight,""Uses commercial and market understanding to make informed decisions."",""Corporate Strategy Analyst; Business Consultant; K–12 District CFO; School Business Manager"",""A strong grasp of market forces is vital for profitability in business and managing tight budgets in schools. From Analysts to Managers, this insight informs strategic decisions."""
"Collaborates,""Works effectively with others to achieve common objectives."",""Team Coordinator; Cross-Functional Project Manager; K–12 Teaching Team; Instructional Coach"",""Collaboration drives success whether in cross-functional teams in business or collaborative teaching teams in schools. It is essential for all levels, including Specialist and Manager roles."""
"Communicates Effectively,""Conveys information clearly and tailors messages to the audience."",""Corporate Communications Specialist; Marketing Analyst; K–12 Teacher; Principal"",""Clear communication is essential to avoid misunderstandings. In business and K–12 settings, roles from Coordinators to Leaders adjust their messaging to fit the audience."""
"Courage,""Addresses tough issues openly and stands up for what is right despite risks."",""Change Manager; Business Consultant; K–12 Principal; Lead Teacher"",""Change managers and consultants challenge the status quo, while school leaders address unpopular issues for student benefit. This is essential from entry-level to senior roles."""
